,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,state,property_valuation,age,cluster
259,Female,41,1971-11-27,Manufacturing,High Net Worth,No,19,NSW,10,49.0,4
260,Female,9,1969-07-06,Retail,Mass Customer,Yes,14,VIC,9,51.0,0
261,Female,21,1991-06-07,Argiculture,High Net Worth,No,6,QLD,6,29.0,4
262,Male,88,1992-11-18,IT,Mass Customer,Yes,10,QLD,9,28.0,2
263,Female,36,1948-01-13,Financial Services,Mass Customer,Yes,7,QLD,5,72.0,5
264,Male,57,1996-02-19,Manufacturing,Affluent Customer,Yes,2,QLD,6,24.0,1
265,Female,56,1938-08-31,,Mass Customer,No,10,NSW,12,82.0,2
266,Female,81,1969-11-17,Property,Mass Customer,Yes,18,NSW,8,51.0,3
267,Female,82,1973-09-25,Financial Services,Mass Customer,No,7,VIC,7,47.0,0
268,Male,70,1951-12-16,Manufacturing,Affluent Customer,Yes,14,VIC,7,69.0,0
269,Female,89,1972-01-17,Health,High Net Worth,No,8,NSW,8,48.0,4
270,Male,84,1996-07-01,Manufacturing,High Net Worth,Yes,1,VIC,7,24.0,0
271,Male,70,1961-01-03,Argiculture,Mass Customer,Yes,5,NSW,3,59.0,2
272,Female,99,1976-08-24,Manufacturing,Mass Customer,No,3,NSW,10,44.0,2
273,Male,48,1956-06-28,Manufacturing,Mass Customer,No,6,NSW,9,64.0,2
274,Male,35,1976-06-11,Manufacturing,Affluent Customer,No,13,NSW,9,44.0,4
275,Female,90,1966-03-07,,Affluent Customer,Yes,7,VIC,3,54.0,0
276,Female,70,1953-03-12,Telecommunications,High Net Worth,No,6,NSW,12,67.0,4
277,Male,50,1962-10-06,Health,Affluent Customer,Yes,5,VIC,9,58.0,0
278,Female,64,1976-03-07,Financial Services,Mass Customer,Yes,16,VIC,9,44.0,0
279,Female,81,1965-07-03,Financial Services,Affluent Customer,No,17,VIC,9,55.0,0
280,Male,7,1968-10-14,,Mass Customer,No,6,NSW,12,52.0,2
281,Female,26,1971-09-18,Telecommunications,Mass Customer,Yes,10,VIC,8,49.0,0
282,Female,37,1978-04-02,Manufacturing,Mass Customer,No,19,VIC,2,42.0,0
283,Male,81,1959-01-05,,Mass Customer,No,17,QLD,7,61.0,2
284,Female,88,1967-01-09,Health,Mass Customer,No,11,QLD,7,53.0,2
285,Male,3,1957-03-23,Financial Services,High Net Worth,Yes,19,NSW,3,63.0,4
286,Male,70,1947-04-22,Argiculture,Affluent Customer,No,13,QLD,8,73.0,4
287,Female,2,1958-12-28,,Affluent Customer,No,6,QLD,10,62.0,4
288,Female,96,1976-04-20,Retail,Affluent Customer,Yes,9,NSW,7,44.0,4
289,Male,50,1990-11-13,Manufacturing,High Net Worth,Yes,10,VIC,1,30.0,0
290,Female,95,1981-06-03,,High Net Worth,No,12,NSW,11,39.0,4
291,Male,15,1972-07-30,Manufacturing,Affluent Customer,No,9,VIC,8,48.0,0
292,Male,89,1958-12-07,,Affluent Customer,No,20,VIC,6,62.0,0
293,Female,88,1963-05-11,Health,Mass Customer,Yes,6,VIC,7,57.0,0
294,Male,36,1980-02-01,Financial Services,Mass Customer,No,4,QLD,8,40.0,2
295,Female,68,1988-01-30,Financial Services,Mass Customer,Yes,5,NSW,7,32.0,2
296,Male,73,1970-08-08,Property,High Net Worth,No,19,NSW,8,50.0,3
297,Male,97,1965-02-27,Financial Services,Mass Customer,Yes,4,NSW,8,55.0,2
298,Female,91,1991-02-14,Argiculture,Mass Customer,No,10,NSW,8,29.0,2
299,Female,59,1947-10-08,Retail,Mass Customer,No,17,NSW,11,73.0,2
300,Male,39,1988-01-10,Retail,Mass Customer,Yes,10,QLD,5,32.0,2
301,Female,97,1993-08-09,Financial Services,Mass Customer,No,7,VIC,9,27.0,0
302,Male,79,1981-08-05,Health,Affluent Customer,Yes,11,NSW,12,39.0,4
303,Female,56,1949-05-20,,Affluent Customer,No,11,NSW,11,71.0,4
304,Female,42,1955-07-17,Financial Services,High Net Worth,Yes,13,QLD,8,65.0,4
305,Female,81,1974-08-09,Financial Services,Mass Customer,No,6,QLD,7,46.0,2
306,Male,1,1954-11-09,,Affluent Customer,Yes,11,NSW,9,66.0,4
307,Female,63,1959-06-12,Financial Services,High Net Worth,Yes,18,NSW,3,61.0,4
308,Female,45,1981-02-15,Health,Mass Customer,No,11,NSW,6,39.0,2
309,Male,21,1971-08-19,Manufacturing,Mass Customer,Yes,14,NSW,6,49.0,2
310,Female,39,1991-02-07,Property,High Net Worth,Yes,10,VIC,11,29.0,3
311,Female,28,1965-12-13,Health,Mass Customer,No,5,VIC,5,55.0,0
312,Male,61,1989-12-15,Manufacturing,High Net Worth,No,7,NSW,8,31.0,4
313,Male,95,1968-11-24,Manufacturing,Mass Customer,No,7,NSW,11,52.0,2
314,Female,73,1992-01-31,,High Net Worth,Yes,3,QLD,8,28.0,1
315,Female,96,1978-05-13,Manufacturing,High Net Worth,No,18,VIC,9,42.0,0
316,Female,3,1957-10-17,Health,Mass Customer,Yes,15,VIC,6,63.0,0
317,Female,20,1985-03-26,Property,Mass Customer,Yes,15,QLD,7,35.0,3
318,Female,74,1955-07-28,Health,Affluent Customer,Yes,14,NSW,8,65.0,4
319,Male,87,1981-09-11,Financial Services,Affluent Customer,Yes,4,NSW,9,39.0,4
320,Male,78,1976-11-06,,High Net Worth,Yes,7,VIC,7,44.0,0
321,Male,23,1977-04-08,Financial Services,High Net Worth,No,12,NSW,6,43.0,4
322,Female,0,1981-11-29,Property,Mass Customer,No,17,NSW,9,39.0,3
323,Male,35,1992-08-27,Manufacturing,High Net Worth,No,9,VIC,9,28.0,0
325,Female,14,1955-01-08,Health,High Net Worth,No,7,VIC,1,65.0,0
326,Female,17,1952-05-19,Financial Services,Mass Customer,Yes,18,QLD,4,68.0,5
327,Male,84,1982-02-10,,Mass Customer,No,12,QLD,5,38.0,2
328,Male,32,1978-07-22,Manufacturing,High Net Worth,No,21,QLD,6,42.0,4
